index,Date,Intel interest,Gold Price
339,2023-12-06,82,41.27000045776367
340,2023-12-07,78,42.150001525878906
341,2023-12-08,89,42.70000076293945
344,2023-12-11,80,44.540000915527344
345,2023-12-12,80,44.040000915527344
346,2023-12-13,84,44.56999969482422
347,2023-12-14,88,45.18000030517578
348,2023-12-15,86,46.15999984741211
351,2023-12-18,86,45.689998626708984
352,2023-12-19,85,46.65999984741211
353,2023-12-20,81,45.7599983215332
354,2023-12-21,81,47.08000183105469
355,2023-12-22,81,48.0
359,2023-12-26,94,50.5
360,2023-12-27,97,50.7599983215332
361,2023-12-28,92,50.38999938964844
362,2023-12-29,83,50.25
366,2024-01-02,76,47.79999923706055
367,2024-01-03,79,47.04999923706055
368,2024-01-04,79,46.869998931884766
369,2024-01-05,77,46.88999938964844
372,2024-01-08,77,48.45000076293945
373,2024-01-09,84,48.04999923706055
374,2024-01-10,86,47.470001220703125
375,2024-01-11,79,47.63999938964844
376,2024-01-12,73,47.119998931884766
380,2024-01-16,79,47.060001373291016
381,2024-01-17,77,46.060001373291016
382,2024-01-18,74,46.7400016784668
383,2024-01-19,72,48.150001525878906
386,2024-01-22,76,48.220001220703125
387,2024-01-23,79,48.88999938964844
388,2024-01-24,79,49.09000015258789
389,2024-01-25,87,49.54999923706055
390,2024-01-26,100,43.650001525878906
393,2024-01-29,84,43.84000015258789
394,2024-01-30,85,42.91999816894531
395,2024-01-31,83,43.08000183105469
396,2024-02-01,84,43.36000061035156
397,2024-02-02,78,42.599998474121094
400,2024-02-05,79,42.77000045776367
401,2024-02-06,78,42.7400016784668
402,2024-02-07,78,42.779998779296875
403,2024-02-08,78,42.5
404,2024-02-09,72,43.310001373291016
407,2024-02-12,74,44.029998779296875
408,2024-02-13,79,43.15999984741211
409,2024-02-14,78,44.189998626708984
410,2024-02-15,76,44.04999923706055
411,2024-02-16,80,43.5099983215332
415,2024-02-20,81,44.52000045776367
416,2024-02-21,83,43.470001220703125
417,2024-02-22,87,42.97999954223633
418,2024-02-23,83,42.9900016784668
421,2024-02-26,82,42.9900016784668
422,2024-02-27,78,42.72999954223633
423,2024-02-28,78,41.9900016784668
424,2024-02-29,79,43.04999923706055
425,2024-03-01,82,43.81999969482422
428,2024-03-04,80,45.61000061035156
429,2024-03-05,83,43.15999984741211
430,2024-03-06,79,44.5099983215332
431,2024-03-07,80,46.150001525878906
432,2024-03-08,76,44.0
435,2024-03-11,81,44.86000061035156
436,2024-03-12,84,45.2400016784668
437,2024-03-13,81,43.22999954223633
438,2024-03-14,79,42.75
439,2024-03-15,79,42.63999938964844
442,2024-03-18,77,42.709999084472656
443,2024-03-19,79,42.04999923706055
444,2024-03-20,93,42.20000076293945
445,2024-03-21,84,42.41999816894531
446,2024-03-22,78,42.56999969482422
449,2024-03-25,82,41.83000183105469
450,2024-03-26,82,41.9900016784668
451,2024-03-27,81,43.77000045776367
452,2024-03-28,78,44.16999816894531
456,2024-04-01,72,44.52000045776367
457,2024-04-02,78,43.939998626708984
458,2024-04-03,81,40.33000183105469
459,2024-04-04,76,39.72999954223633
460,2024-04-05,75,38.709999084472656
463,2024-04-08,73,37.97999954223633
464,2024-04-09,76,38.33000183105469
465,2024-04-10,84,37.20000076293945
466,2024-04-11,76,37.630001068115234
467,2024-04-12,76,35.689998626708984
470,2024-04-15,74,36.310001373291016
471,2024-04-16,74,36.2599983215332
472,2024-04-17,72,35.68000030517578
473,2024-04-18,74,35.040000915527344
474,2024-04-19,71,34.20000076293945
477,2024-04-22,71,34.40999984741211
478,2024-04-23,72,34.279998779296875
479,2024-04-24,77,34.5
480,2024-04-25,80,35.11000061035156
481,2024-04-26,80,31.8799991607666
484,2024-04-29,72,31.360000610351562
485,2024-04-30,72,30.469999313354492
486,2024-05-01,70,30.3700008392334
487,2024-05-02,72,30.510000228881836
488,2024-05-03,69,30.899999618530273
491,2024-05-06,70,30.969999313354492
492,2024-05-07,70,30.68000030517578
493,2024-05-08,71,30.0
494,2024-05-09,71,30.09000015258789
495,2024-05-10,75,29.850000381469727
498,2024-05-13,69,30.510000228881836
499,2024-05-14,73,31.049999237060547
500,2024-05-15,74,31.270000457763672
501,2024-05-16,75,32.029998779296875
502,2024-05-17,73,31.829999923706055
505,2024-05-20,73,32.099998474121094
506,2024-05-21,76,31.739999771118164
507,2024-05-22,72,31.420000076293945
508,2024-05-23,76,30.079999923706055
509,2024-05-24,73,30.719999313354492
513,2024-05-28,75,31.059999465942383
514,2024-05-29,74,30.1299991607666
515,2024-05-30,72,30.190000534057617
516,2024-05-31,69,30.850000381469727
